Pfx,subspecies,mRWL,mRTS,Mass
CO,erythrogaster,123.5,87.67,17.5
CO,erythrogaster,119.67,82.83,17.75
CO,erythrogaster,122,98,17.75
CO,erythrogaster,121,100,18
CO,erythrogaster,117,81,16.74
CO,erythrogaster,119.83,92,19.5
CO,erythrogaster,117,84,17
IL,transitiva,123,98,16.4
IL,transitiva,124,110,16.6
IL,transitiva,130,91,21.5
IL,transitiva,129,113,18.5
IL,transitiva,130,100,20
IL,transitiva,123,113,18.5
IL,transitiva,125,109,15.8
IL,transitiva,126,114,17.8
IL,transitiva,122,100,16
IL,transitiva,131,115,18.9
IL,transitiva,126,117,20.1
IL,transitiva,131,115,18.9
IL,transitiva,122,110,16
